,Rank_x,Name,Successful tackles,Season,Rank_y,Tackle points,Rank,Position,Matches played,Avg tackle points,Team
982,57.0,Swapnil Dilip Shinde,13.0,SEASON 5,62.0,13.0,63.0,"Defender, Right Cover",13.0,1.0,Dabang Delhi Kc
983,57.0,Deepak Niwas Hooda,13.0,SEASON 5,58.0,14.0,91.0,All Rounder,24.0,0.58,Puneri Paltan
984,57.0,Sachin,13.0,SEASON 5,58.0,14.0,91.0,Raider,24.0,0.58,Gujarat Fortunegiants
985,57.0,Vineet Sharma,13.0,SEASON 5,58.0,14.0,76.0,Raider,18.0,0.78,Tamil Thalaivas
986,61.0,Neeraj Kumar,12.0,SEASON 5,62.0,13.0,78.0,"Defender, Right Cover",17.0,0.76,Haryana Steelers
987,61.0,Sunil Jaipal,12.0,SEASON 5,55.0,15.0,58.0,Raider,13.0,1.15,Bengaluru Bulls
988,63.0,Wazir Singh,11.0,SEASON 5,62.0,13.0,87.0,Raider,21.0,0.62,Haryana Steelers
989,63.0,Bajirao Hodage,11.0,SEASON 5,69.0,11.0,71.0,"Defender, Right Cover",12.0,0.92,Dabang Delhi Kc
990,63.0,Rohit Kumar,11.0,SEASON 5,65.0,12.0,95.0,Raider,22.0,0.55,Bengaluru Bulls
991,63.0,Rohit Kumar,11.0,SEASON 5,65.0,12.0,126.0,"Defender, Right Cover",7.0,0.14,Up Yoddha
992,63.0,Rohit Kumar,11.0,SEASON 5,136.0,1.0,95.0,Raider,22.0,0.55,Bengaluru Bulls
993,63.0,Rohit Kumar,11.0,SEASON 5,136.0,1.0,126.0,"Defender, Right Cover",7.0,0.14,Up Yoddha
994,135.0,Rohit Kumar,1.0,SEASON 5,65.0,12.0,95.0,Raider,22.0,0.55,Bengaluru Bulls
995,135.0,Rohit Kumar,1.0,SEASON 5,65.0,12.0,126.0,"Defender, Right Cover",7.0,0.14,Up Yoddha
996,135.0,Rohit Kumar,1.0,SEASON 5,136.0,1.0,95.0,Raider,22.0,0.55,Bengaluru Bulls
997,135.0,Rohit Kumar,1.0,SEASON 5,136.0,1.0,126.0,"Defender, Right Cover",7.0,0.14,Up Yoddha
998,66.0,Monu Goyat,10.0,SEASON 5,69.0,11.0,101.0,Raider,26.0,0.42,Patna Pirates
999,66.0,Akshay Jadhav,10.0,SEASON 5,65.0,12.0,57.0,Raider,10.0,1.2,Puneri Paltan
1000,66.0,N. Renjith,10.0,SEASON 5,65.0,12.0,62.0,"Defender, Left Corner",11.0,1.09,U Mumba
1001,66.0,Yatharth Deshwal,10.0,SEASON 5,69.0,11.0,27.0,All Rounder,6.0,1.83,Dabang Delhi Kc
1002,66.0,Shrikant Jadhav,10.0,SEASON 5,65.0,12.0,85.0,Raider,19.0,0.63,U Mumba
1003,71.0,Ajay Thakur,9.0,SEASON 5,73.0,9.0,103.0,Raider,22.0,0.41,Tamil Thalaivas
1004,71.0,Rahul Chaudhari,9.0,SEASON 5,73.0,9.0,103.0,Raider,22.0,0.41,Telugu Titans
1005,71.0,Joginder Singh Narwal,9.0,SEASON 5,73.0,9.0,60.0,"Defender, Left Corner",8.0,1.13,U Mumba
1006,71.0,Vinod Kumar,9.0,SEASON 5,58.0,14.0,80.0,Raider,21.0,0.67,Patna Pirates
1007,71.0,Vinod Kumar,9.0,SEASON 5,58.0,14.0,97.0,"Defender, Left Cover",4.0,0.5,Telugu Titans
1008,71.0,Vinod Kumar,9.0,SEASON 5,58.0,14.0,101.0,Raider,19.0,0.42,Bengal Warriors
1009,71.0,Vinod Kumar,9.0,SEASON 5,80.0,8.0,80.0,Raider,21.0,0.67,Patna Pirates
1010,71.0,Vinod Kumar,9.0,SEASON 5,80.0,8.0,97.0,"Defender, Left Cover",4.0,0.5,Telugu Titans
1011,71.0,Vinod Kumar,9.0,SEASON 5,80.0,8.0,101.0,Raider,19.0,0.42,Bengal Warriors
1012,71.0,Vinod Kumar,9.0,SEASON 5,120.0,2.0,80.0,Raider,21.0,0.67,Patna Pirates
1013,71.0,Vinod Kumar,9.0,SEASON 5,120.0,2.0,97.0,"Defender, Left Cover",4.0,0.5,Telugu Titans
1014,71.0,Vinod Kumar,9.0,SEASON 5,120.0,2.0,101.0,Raider,19.0,0.42,Bengal Warriors
1015,78.0,Vinod Kumar,8.0,SEASON 5,58.0,14.0,80.0,Raider,21.0,0.67,Patna Pirates
